predicted_label,komentar
alih fungsi hutan,kebun kelapa sawit sebab air bah hujan yg tiada henti faktor utama kebun sawit yg puluh udah dr gk masalah skrg d masalah
pembalakan liar,kayak orang yg hidup negeri masuk kategori bencana nasional
sosial kemanusiaan,sumatra utara
komentar biasa,aceh
sosial kemanusiaan,beda sumut medan tepat daerah sibolga
sosial kemanusiaan,korban sumatra bg
pembalakan liar,sumut kk
pembalakan liar,sumut
pembalakan liar,sumut sumbar aceh
sosial kemanusiaan,owhhh mkasih bg
alih fungsi hutan,potong kayu yg kak pake mesin udah angkutin pinggir pantai kak
sosial kemanusiaan,kenafa fegitu feduli mengemfalikan ekosistem
sosial kemanusiaan,kak keselek huruf f
kebijakan pemerintah,kalo perintah sih doa
alih fungsi hutan,klo kayu mah ambil dijadiin arang macem
alih fungsi hutan,kalo kayu sih fine aja beda kalo sampah buat manusia sprti plastik botol sterofoam dll ekosistem alam kayu alam gak buang gak papa aman aja
sosial kemanusiaan,saring
sosial kemanusiaan,kenafa feduli ekosistem sekharang
sosial kemanusiaan,pake excavator
alih fungsi hutan,ya kali kayu seret banjir puluh kilometer daun nya utuh
alih fungsi hutan,potong mulus bilang alami
alih fungsi hutan,bilang alami
kebijakan pemerintah,phon buka lahan yg sengaja tebang trus timbun dgn tanah
sosial kemanusiaan,apalgi ranting kalo gaada daun ranting
alih fungsi hutan,kalok gitu akarnyahal kek gin aja lu kagak pahambuzzer yah
alih fungsi hutan,ralat ya daun wajar kl gaada daun tiup angin aja jatoh bawa arus kenceng arus kenceng tsunami loh kl ranting wajar gaada karna bentur pohon bentur rumah jd patahhancurnyangkut tp kayu yg bener bulet rapi potong dah kayu hasil tebang manusia
pembalakan liar,ralat ya udah konfirmasi dpr buzzer
alih fungsi hutan,mah potong banjir mesin
alih fungsi hutan,yaaaa emang dasar perintah aja denial bang anak sd bedain potong pohon mesin tumbang alami logika beda
pembalakan liar,sisa bala liar
sosial kemanusiaan,percaya alam dripda mulut manusia
alih fungsi hutan,kalo alami potong kalo pake mesin gak sampe akar
sosial kemanusiaan,mana lari nya ranting daun bos ayo logika ayo
alih fungsi hutan,dngn jadi jaga hutan dgn ketat tebang pohon kelak bencana parah
komentar biasa,pikir logika
pembalakan liar,tangkap yg izin tebang
sosial kemanusiaan,salah manusia
kebijakan pemerintah,sembunyi olh perintah lihat barang bukti tuhan
alih fungsi hutan,gk banghujan ekstrem nya turun muka bumi dgn bawa mesin singso babatmakanya kayu tumbang dgn rapih
alih fungsi hutan,bener yg potong yg ya
alih fungsi hutan,salah bang bener alami lohpohon kebun tumbang tiup angin pas roboh langsung papanjadi kaso triplek
sosial kemanusiaan,emang bala liar bala izin wkwkwk
pembalakan liar,jurus jabat ga blt bansos nya jd citra jabat
alih fungsi hutan,iya pohon mati masal
sosial kemanusiaan,kl cabut banjir bandang utuh msh ranting daun dikit
sosial kemanusiaan,alam bersih bersih
alih fungsi hutan,kayu pohon tumbang angin kencang yg potong rapi kena gesek besi
alih fungsi hutan,alam konoha pintar dlm potong potong
pembalakan liar,luas ya tebang
alih fungsi hutan,bala liar tp bala yg izin
komentar biasa,anak tk aja tau klo potong mesin
sosial kemanusiaan,saya antar barang bukti sajaselebihnya mohon maaf
pembalakan liar,ny angin ky film tag
kebijakan pemerintah,yg salah hujan perintah g salah
kebijakan pemerintah,gak ulah tinkerbell
sosial kemanusiaan,moga dlm lindung tuhan
sosial kemanusiaan,jaga sana yaaa
komentar biasa,udah reda
sosial kemanusiaan,alhamdulillah ya allah
sosial kemanusiaan,udah dapet brapa ikan bang
sosial kemanusiaan,gak komen klau ga paham
sosial kemanusiaan,wki lho sek ra paham sawang sek
sosial kemanusiaan,gik isih kimin kili gi pihim
sosial kemanusiaan,strike ikan
pembalakan liar,sdh
sosial kemanusiaan,bakar malem
sosial kemanusiaan,gitu pohonya gak cabang kah bang ya batang aja cabang gak
sosial kemanusiaan,alami chainsaw
sosial kemanusiaan,eh stop ya jari kau keti kau gak nyambung bencana alam dibandingin rusuh sepak bola stresss
sosial kemanusiaan,dlm musibah msh komen kya gniheran klo g bs bantu dlm doa tenaga materi lbh keti simpan
kebijakan pemerintah,bantu tni main negara negara
sosial kemanusiaan,bencana emang nyari musibah stadion sumatra provinsi
sosial kemanusiaan,hahaha kak liat professor
pembalakan liar,hadeh km tau sih kak masyarakat adat ga resah babat liar gilir kayak gin yg disalahin masyarakat mahasiswa ga nyambung bgt knp ga salah laku sih bodoh banget nyalahin korban emg kalo demo didengerin perintah sayang tuntut rakyat demo kemarin aja ga didengerin bikin huru hara bikin ruu
pembalakan liar,otak udang otwk mu
alih fungsi hutan,kocak sadar perintah kalo ga serakah ga bencana kek gin demo kalo hutan udah gundul gitu ya gmna
pembalakan liar,ulah masyarakat adat situ usaha puluh mata lihat tolol
sosial kemanusiaan,gin kau bilang mahasiswa bijak perintah rugi rakyat kau bilang mahadewa mahasiswa didik kritis sistim imbas nya kemudi tdk dampak buruk klu cari mahasiswa mahasiswa keluarga nya kena imbas
sosial kemanusiaan,fungsi
sosial kemanusiaan,jt juta rakyat derita ga peduli jabat the firt planning cuannnnnnnn orang peduli
sosial kemanusiaan,from indonesian from aceh from asean ya kena musibah banjir
sosial kemanusiaan,astaga banget
sosial kemanusiaan,innalillahi wainnailaihi rojiun tempat saudara surga ya rabb
sosial kemanusiaan,moga ringan susah lancar kerja rawan tugas evakuasi korban
sosial kemanusiaan,hasbunallah wanimal wakil nimal maula waniman nasir innalillahi wa innalillahi rojiun moga almarhum almarhumah syahid husnul khotimah alfatihah aaamiiin aaamiiin yaa rabbal alaamiin
sosial kemanusiaan,moga cepet sembuh indonesia kuu
sosial kemanusiaan,moga tabah
sosial kemanusiaan,sulawesi tau berita sore fyp innalilahi wa inna ilaihi rajiun moga korban husnul khatimah temanteman moga tabah
sosial kemanusiaan,detikk
pembalakan liar,sumbang dr masyarakat nyumbang udh d kasihin sumbang
sosial kemanusiaan,iyaa klo yg galang dana kumpul segitu banyak orang pda percayaa
kebijakan pemerintah,iya cantik sya tau masyarakatyg bilang ferry irwandi
sosial kemanusiaan,jngan ladenin emak bang
sosial kemanusiaan,efek ferry irwandi masyarakat yg peduli
pembalakan liar,fb buk
sosial kemanusiaan,gas yg lu pake rumah bahan bakar lu pake aspal jalan yg lu pake bpjs gratis yg ain perintah daerah warga miskin diterusin sekolah
alih fungsi hutan,jam aja kumpul m pajak x ituuuuuu
kebijakan pemerintah,logika ny gin deh klo ortu mu bnyak uang semuany bisnis ny yg bayar hutang ny lunas sodarany yg bantu trus klo ortu lu brngkat lu titipin duit sm kk ny anggap bupatigubernur iya kk lu dlu yg tangguin butuh biaya kecuali entar kk li gak sanggup lg ortu lu turun gunung
sosial kemanusiaan,kntong kntong
pembalakan liar,keren
sosial kemanusiaan,httpsvttiktokcomzsfgpoxfp bg
komentar biasa,kau cuman liat berita yg timeline tiktok kaugausah kecot
sosial kemanusiaan,td liat vt nya aceh klo ga slh satu brimob bawa ransel isi sembako jalan kaki akses susah
komentar biasa,polisi gak foto bilang polisi gk ngebantu gilir foto bilang validasihadehh
pembalakan liar,httpsvttiktokcomzsfgfjnp httpsvttiktokcomzsfgfkjqh httpsvttiktokcomzsfgfeqx cek komen busuk hati gin yah
komentar biasa,ko cari aja gimn polri membntu bnjir
sosial kemanusiaan,mba cowo
sosial kemanusiaan,ga potong pajak dana bantu sosial bencana
sosial kemanusiaan,berita tv udah tetap sbg status bencana nasionalitupun krn desa lihat kondisi
perubahan iklim,takut serang nitizen mkanya bencana nasional
pembalakan liar,aceh mati lampu bro gada jaring cewek gw kmaren skrng alhamdulillah lampu dh hidup lg
sosial kemanusiaan,bagi bg temennya
sosial kemanusiaan,pidie
sosial kemanusiaan,tmnku org nepal udh tau berita kak
sosial kemanusiaan,beritahu ford
sosial kemanusiaan,wowok kena
kebijakan pemerintah,malu krn human erroruda ditegor mala ketawa sangking rakus
sosial kemanusiaan,udah masuk berita inter loh ka jepang bawa helikopter indo jemput warga nyawa harga banget perintah indo nggk harga itu
sosial kemanusiaan,nga keluarin anggar
pembalakan liar,abis anggar udah mbg korupsi
sosial kemanusiaan,efesiensi
alih fungsi hutan,tolong korban yg jebak banjir pakek rakit pohon pisang peduli pusat terhadab sumatra gak sanggub ngurus negara sumatra pisah indonesia
kebijakan pemerintah,yuks diskusi bencana tetap sbg bencana nasional tp tanggap darurat bencana nasional bencana yg lumpuh perintah luar korban rusa dll perintah pusat tetap bencana nasional tsunami flores th tsunami aceh th covid bencana korban tinggal angka ribu perintah daerah atas dampak masif jadi gempa palu gempa jogjakarta letus gunung kelud dll yg jg makan korban jadi yg tetap sbg bencana nasional dihandle provinsi kabupaten ranah yg dihandle daerah n pusat ga kirim bantu pusat kirim bantu
kebijakan pemerintah,jogja lebig korban nya gak d tetap bencana nasional
kebijakan pemerintah,karna perintah pusat sanggup tangan bencana yg
sosial kemanusiaan,naah kaji dlm gempa palu inti dr penjwlasan ttg tetap status bencana sosial bnkn trg bnyk nya korban tp ttg mampu pimpin daerah tangan bencana trsebut perintah tdk sanggup baru perintah pusat tetap adlh bencana nasional
kebijakan pemerintah,negara
sosial kemanusiaan,udah darurat internasional tetap sgp my as
komentar biasa,gerindra
sosial kemanusiaan,kak
sosial kemanusiaan,dlm musibah msh komen kya gniheran klo g bs bantu dlm doa tenaga materi lbh keti simpan
komentar biasa,iya negara konoha
sosial kemanusiaan,respect bang
komentar biasa,hama cucu londo ireng jawa
sosial kemanusiaan,nggk bca kh
sosial kemanusiaan,emang lo lo selamat
sosial kemanusiaan,lilathequeen sesuai tampang
komentar biasa,gak cari ribut kena bencana hrusnya kau respeck anda kau orng pulau jawa smoga pulau jawa aman aja y bro
sosial kemanusiaan,ada sikap manusia mati indonesia
pembalakan liar,republik wakanda bg
kebijakan pemerintah,ricky lelfmalu gw bang baca komentar perintah kirim hercules helikopter anggota tni polri tewas lokasi bencana bilang ga bantu perintah miris susah ngasih tau fakta kena sakit hati
alih fungsi hutan,minimal searching btw udah nyumbang izin
sosial kemanusiaan,nyiksa rakyat
sosial kemanusiaan,narik pajak bang izin
sosial kemanusiaan,diam lambatbro
sosial kemanusiaan,lambat diam
sosial kemanusiaan,iya ya urus manusia politik
sosial kemanusiaan,lu tiktok scroll aja sihhh
sosial kemanusiaan,tahu ap yg maksud perintah usut babat hutan alam hancur rugi rakyat paham
komentar biasa,smg nant whoato walhi yg btgerak prlindungan alam luar negeri yg dtg sumatra u liat
sosial kemanusiaan,udah jadi skrng
sosial kemanusiaan,lihat vt
sosial kemanusiaan,iyaa bener bnr kejahatsn biasaaa
sosial kemanusiaan,cek tiktok suharyanto
sosial kemanusiaan,diam gimana bli
kebijakan pemerintah,diam perintah usut sebab babat hutan rugi rakyat
sosial kemanusiaan,rakyat nya yg tolol salah kn pemrintah lh
komentar biasa,sabar bli konoha gk cepat
sosial kemanusiaan,diam ya coba urai
alih fungsi hutan,sumatra gratis
sosial kemanusiaan,free sumatra emang serang tod
sosial kemanusiaan,wakil sekolah mts n kota cirebon provinsi jawa barat donasi jt ituh ituh murid guru sekolah moga manfaat provinsi salam mts n kota cirebon provinsi jawa barat
sosial kemanusiaan,prayforsumatera prayforsumbar prayforsumut prayforaceh
pembalakan liar,dukacita moga cepat temu yg hilang amien
sosial kemanusiaan,arap mood an windah mode serius klian ketawain ntar keep respect tpi tmptny
sosial kemanusiaan,ferry aja deh cocok guee
kebijakan pemerintah,klo jdi dpr gak kya gtu jamin
pembalakan liar,jgn si reja arab jugaaak
komentar biasa,iya iih kn live streaming gk da tuh open donasi
sosial kemanusiaan,willie salim
sosial kemanusiaan,lu nyuruh bajak laut angkat laut konteks onepiece
sosial kemanusiaan,anggota dpr yg sekaramg dulunya orang baik klo udah masuk gedung dewan ya kek gitu laku ubah
sosial kemanusiaan,ancursmw bidang nya
komentar biasa,bg siarin bg pas bpk mikul beras keliling awal nya lg nyekop pasir bg uda aja kyk nya
sosial kemanusiaan,konoha
kebijakan pemerintah,negara pembrontak
sosial kemanusiaan,negara kaya dunia bang
sosial kemanusiaan,komen jawa hama ko ga comen doi
pembalakan liar,jepang britanya yg sampe rekan kerja orang jepang bela sungkawa jadi indonesia
sosial kemanusiaan,ak nonton tv ad berita bawa komenan org jd kak lihat benr tv ak rs ngeliat berita tv jgn suudzon doa tdk nyata yg tdk bantu doa rezeki yg trdampak
sosial kemanusiaan,ad tv sq lihat
kebijakan pemerintah,malu negara krna ulah tngan sndri
sosial kemanusiaan,hadehh
komentar biasa,jng fitnah kmu aja yg ga nonton tv
pembalakan liar,siar televisi jangkau jawa doang
pembalakan liar,televisi kuasa geng solo rencana jatuh prabowo
sosial kemanusiaan,negara amburadul bang
komentar biasa,era abad kosong bngdimana benar dibungkamdan yg berani buka bukti benar musnah
sosial kemanusiaan,ayok bentuk pasu revolusi ketua nya
pembalakan liar,adu mulut mulu kerja
pembalakan liar,beli tv
komentar biasa,iya hahaha
sosial kemanusiaan,siap bg
sosial kemanusiaan,ngakak
pembalakan liar,kayak tuan crab
sosial kemanusiaan,betulll
sosial kemanusiaan,wkwkwk
sosial kemanusiaan,latah emang
sosial kemanusiaan,taruh yu yusuf mansyur ikut
kebijakan pemerintah,darimana duit
sosial kemanusiaan,co
kebijakan pemerintah,ceo malaka project dpr perintah
komentar biasa,kalo logika yg bilang gk patah karna banjir
pembalakan liar,pecat menteri hutan
pembalakan liar,up lekas viral
sosial kemanusiaan,muka lu beda bang
sosial kemanusiaan,udh insaf nya beda
sosial kemanusiaan,oplas bwang
sosial kemanusiaan,suka pajak udah nggak purbaya pajak donasi
kebijakan pemerintah,keren bpk yohanes kelas kinggg awas mahkota jatuhhhh
sosial kemanusiaan,bentar gua liat muka lu anis
sosial kemanusiaan,purbayaga gw kena pajak persen punkalau kemanusian
sosial kemanusiaan,op
sosial kemanusiaan,speechless
komentar biasa,heran negara cinta indonesia ka yg penuh dngn jabat pinter
alih fungsi hutan,emang orang klo bawa kayu daun
sosial kemanusiaan,krn pake badan amal
sosial kemanusiaan,kitabisa ga kena potong pajak
sosial kemanusiaan,kagak berani
alih fungsi hutan,jalan hubung aceh singkil mutar
kebijakan pemerintah,buka kemarin
sosial kemanusiaan,dprt dewan wakil rakyat tiktok
sosial kemanusiaan,iya jam segitu
kebijakan pemerintah,presiden
sosial kemanusiaan,nya ga terima kalo presidenpresiden tu bidang nya ngapus koruptor jaga stabil negara perang ekonomi negara
pembalakan liar,ferry kiri
sosial kemanusiaan,aamiin ya allah yaa robbal alamiin
sosial kemanusiaan,aamiin ya allah
sosial kemanusiaan,desa kena banjir bandang kali luap tanggul nya jebol yg hutang bayar data pdhal bank nya tenggelamtetap tagih
sosial kemanusiaan,orangorangny
sosial kemanusiaan,coba kau posisi
komentar biasa,coba yg posisi
pembalakan liar,tau posisi bro canda
perubahan iklim,banjir banjir sembarang woiii
alih fungsi hutan,hehh lo pikir banjirr enak hahh
alih fungsi hutan,makan bandang tebang pohon kak hutan gundul
pembalakan liar,moga yg nebang hutan cepat sadar yg laku
pembalakan liar,nebang orang jawa
pembalakan liar,masyarakat orang jawa aja udah bikin sumbang bang sumantrajelek bngt ya orang jawa mata
komentar biasa,yaelah jawa mulu kena
komentar biasa,ktawa u ngakak u lupa aceh
sosial kemanusiaan,yaallah tolong hamba mu lemah senantiasa tolong mu yaalah
sosial kemanusiaan,maha allah firman
sosial kemanusiaan,duka cita
sosial kemanusiaan,ka
sosial kemanusiaan,pen tau kbr weh
sosial kemanusiaan,prihatin musibah banjir moga warga dampak kuat sabar lindung allah swt doa banjir surut situasi aman bantu salur cepat moga rawan sehat lancar tolong aamiin
alih fungsi hutan,cerita maff nya megangu nya mugkin alam murka kerna sebab bakar hutan pemotogan hutan oknum bertaggung stop penebagan hutan bakar hutan
pembalakan liar,sukarelawan sumbang korban becana tempat
sosial kemanusiaan,harta kaya milik allah
sosial kemanusiaan,bangga hilang udah takdir
sosial kemanusiaan,betapa lemah manusia d hadap allah
sosial kemanusiaan,innalillah ya alloh slmatkn saudarasaudari yg kena bencana
sosial kemanusiaan,moga jaga alam dgn tegur keras utk alam
sosial kemanusiaan,allahuakbar yaallah
pembalakan liar,nggak bayang betapa sedih yg korban moga cepat bencana
sosial kemanusiaan,prayforsumatera prayforsumbar prayforsumut prayforaceh
sosial kemanusiaan,lantas ap sombong
pembalakan liar,kalah dgn jabat
sosial kemanusiaan,rakyat satu powernya kak yg penting jgn gampang pecah belah bener jd ajar bgt peduli dgn lingkung politik
sosial kemanusiaan,yg rawat merka yg panen
kebijakan pemerintah,aja rakyat gak beda liat riau hutan lindung rebut rakyat bangun kebun sawit penting gak perintah gak rakyar gak beda
komentar biasa,iya tp klo gak yg ngerawat yg korban
kebijakan pemerintah,mana aja gue nyesek riau hutan lindung jajah orang warga tebang pohon pohon dijadiin kebun sawit sampe ngehancurin gerbang pintu masuk sakit banget hati gue negara gak perintah gak rakyat aja
sosial kemanusiaan,kak rakyat nya jgn kak ga salah perintah nya doang
pembalakan liar,bijak pilih kuasa bergotongroyong jaga tanah kitakalau ilegal loging masyarakat demo besar stop diam serakah alam
alih fungsi hutan,ambil alih hutan tanam pohon
sosial kemanusiaan,bener banget jaga betapa nya tuhan udh ngasih tinggal manusia manusia cuman rusak binatang punah sampah mana laut sampahkarang mati sedih liat nya
pembalakan liar,masyarakat rawat apadaya tanda tangan ijin eksploitasi jabat mrk larang truk angkut kayu rumah datang aparat so
sosial kemanusiaan,setujuuuuuu
alih fungsi hutan,nanam kak nenek moyang nanam jabat nebangin
sosial kemanusiaan,mari
komentar biasa,iya gk tau dg petinggi kak
kebijakan pemerintah,masyarakat rawat perintah rusak
sosial kemanusiaan,kalah sm jabat yg wewenang kak kita rakyat gapunya power
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
komentar biasa,lupa kurang sampah pelastik
sosial kemanusiaan,rawat usaha yg mengandeng oemerintah korup yg hancur
kebijakan pemerintah,perintah dalang
sosial kemanusiaan,anjj banget yaa kak korban itu maruk x jdi manusia kayak gin tidur nyenyakmakan enakkayak gk ngerasa salah
sosial kemanusiaan,kak warga ga ga kerja bidang tebang nya yg lai ka jdi aja ya perintah warlok nya jd bener allah lgsg kasih tegur tindak yg laku
sosial kemanusiaan,nih
sosial kemanusiaan,yg derita rakyat nykena imbas semua
sosial kemanusiaan,bbrp oknum bs tdr nyenyak dgn kasur yg empuk sdgkn rakyat yg tdk dpt derita anak aduh kasi bgt liat
pembalakan liar,jabat warga ga lapor
kebijakan pemerintah,dalang perintah trus andil rakyat kerja babat kayu trus nak rakyat
alih fungsi hutan,ak sbnrnya mo komen bgni sbnrnya ga mo suudzon hidup hutan ya kerja nya tan menebng kayu ato olah kayu lai krna suami lahan hutan banten kalo wktunya pas phon yg kayu bagus jual krna rumah furnitur lai smua nya salah yg manusia yg srakah krna hidup makan dn mata cahari
alih fungsi hutan,yaa gimna nggak serakah kak rakyat kerja ngebabat kayu aja gaji juta puluh juta gimna nggak giur peduli rakyat perintah serakah alam rakyat nggak salah kena imbas dampak tebang hutan
alih fungsi hutan,sbnrnya yg km mksud gaji juta ato puluh juta kerja nya kek yg dr nebang angkat kayu naro muat kak tp kepul nya ato ta kasar tengkulak yg kayu nya pt ato pengolhan pabrik yg jual ksna jdi sbnrnya pkerja ny gaji kakrna ak tau dan maknya liat luas tebang nya krna kerjasama pt sbnrnya yg ak tau maaf klo slaah
kebijakan pemerintah,tetangga nya kerja kek kak gaji bulan juta kak nggak tau pokok nya andil perintah rakyat
alih fungsi hutan,ya mang smua andil krna yg ak bilang butuh hidup makan butuh smua salah ya ka tp klo banten ga luas sumtra ato kalimantan hutan jdi yg potong pohon yg rumah aja yg umurny tahunsedih bgt ya allah smoga sumtra cepat pulih ga bantu doa yg luas mreka ya allah
alih fungsi hutan,kak klo kayuna udah tenang jual klo gak bikin rumah dll nanem putar gitu
sosial kemanusiaan,oh kak tanam lg seblum tebang udh beli bibit nya yg lbih bnyak lg wktunya tanam lg krna investasi kalo urgent
pembalakan liar,tebang
sosial kemanusiaan,playing victim alas kerja rakyat
pembalakan liar,gak ngaruh orang pt nya prabowo
sosial kemanusiaan,bukti please kirim ss nya
sosial kemanusiaan,kak
pembalakan liar,ngomong dalem hati pas liat komen yg wkwk
sosial kemanusiaan,komen
sosial kemanusiaan,banget
sosial kemanusiaan,capek bgt
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
pembalakan liar,angkat tangan angkat kaki
pembalakan liar,pundak lutut kaki
sosial kemanusiaan,sayaangg
sosial kemanusiaan,akhirat korban saksi kak laku mereka
pembalakan liar,serakah manusia
kebijakan pemerintah,seng duit
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
komentar biasa,gerindra zulhasan raja juli antoni
pembalakan liar,tp sayang manusia serakah buta mata buta hati kakudh kasih tunjuk jelas aja msh sangkal klo pohonya tumbang sndiri gara hujan deras
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
sosial kemanusiaan,tuju manusia serah hancur dunia yg cipta allah manusia g mikir kalauyg hidup dunia g cuman manusia binatang binatang punah manusia laut darat dunia hancur manusia tanggung nature buang sampah sembarang tembang pohon tuhan kirim musibah manusia tuhan tindak g moga manusia yg ajar praying for you indonesia
sosial kemanusiaan,prayforsumatera prayforindonesia
sosial kemanusiaan,air hujan turun nya deras banget gergaji gerak gitu bang
alih fungsi hutan,gak tu dewa hujan ngamuk antem ma dewi angin rumah tangga gak piring panci lemparlemparan yg pohon aja
pembalakan liar,bayang film indosiar
pembalakan liar,dr sinetron india sih
sosial kemanusiaan,bener bgt air ujan bawa cat ngasih nomer kayu
komentar biasa,kayak iya ya
sosial kemanusiaan,symorse percaya ssss
pembalakan liar,keyr gimick keren
pembalakan liar,tau jadi tarik tarik
alih fungsi hutan,adaa beliau jabat kayu pohon langsung usaha babat hutan gundul
sosial kemanusiaan,oww gituu terimakasi ya infonyaa
pembalakan liar,air hujan gw gw
sosial kemanusiaan,air hujan tajem ya kak
alih fungsi hutan,gergaji warga hanyut bg trs potong deh tuh pohon
sosial kemanusiaan,ngakak baca komen nyaa
sosial kemanusiaan,trus bawa cat sdri tulis nomer nya
sosial kemanusiaan,wkkk
alih fungsi hutan,tp perintah itu kayu yg udah lapuk kl sich percaya sich
pembalakan liar,masuk akal
sosial kemanusiaan,kak nyesek
sosial kemanusiaan,yaiyalah diem yg dia
perubahan iklim,banjir sumatra kalimantan
alih fungsi hutan,lo megang hp buka google map lo ketik sumatera kalimantan buka tiktok google map ga paham
perubahan iklim,bang kalimantan buka sumatra ya
alih fungsi hutan,kak pliss sekolah gak sih
pembalakan liar,kalimantan pulau sumatera pulau bang bnget jaraknyaaa tuhhh
pembalakan liar,sekolah ga kak kalimantan y kalimantan sumatera y sumatera nama provinsi kalimantan sumatera udah beda provinsi
sosial kemanusiaan,bjir
komentar biasa,coba buka peta indonesia ya kak
pembalakan liar,sumatera kalimantan tepat pantai padang
perubahan iklim,kalimantan gak banjir coy gak surut trus banjir air bersih
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
alih fungsi hutan,sumatera cateet
sosial kemanusiaan,diem tau laku
sosial kemanusiaan,d usut smpe abis y
sosial kemanusiaan,ya jahat ngaku
kebijakan pemerintah,ya presiden kak
pembalakan liar,kuota haji judol depan mata laku aja ditgkap
pembalakan liar,ya karna yg nguak polisi nglindungin jahat pemjahatnya orang
sosial kemanusiaan,jahat samar jd pahlawan kak
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
pembalakan liar,udh sampe amerika
sosial kemanusiaan,ngeriiii
sosial kemanusiaan,pohon cerdas drahhh isi sendiri
sosial kemanusiaan,nabi muhammad shallallahu alaihi wasallambersabda hai orangorang iman perkara timpa perkara mohon lindung allah dapat muncul buat keji zinamerampok minum khamr judi masyarakat laku terangterangan kecuali sebar penyakitpenyakit orangorang orangorang tahan zakat harta kecuali hujan langit tahan anda hewanhewan manusia hujan orangorang kurang takar timbang kecuali siksa kezhaliman kuasa hidup susah paceklik pemimpinpemimpin negara masyarakat hukum kitab allah memilihmilih allah turun kecuali allah jadi musuh keras
komentar biasa,ikut ya dgn nada lantang
kebijakan pemerintah,jgn nunggu akherat skrg jg kompak gak nuntut perintah
sosial kemanusiaan,hmmm jujur susah lawan org yg kuasa
sosial kemanusiaan,tuntut ya kak
sosial kemanusiaan,s
sosial kemanusiaan,dlm baris ya ka
sosial kemanusiaan,samaaaa
sosial kemanusiaan,rame rame kak
sosial kemanusiaan,bener banget kak adil adil akhirat nanti
sosial kemanusiaan,aamiin allah swt yg balas seadiladilnya sogokmenyogok
sosial kemanusiaan,nunggu akherat bang
sosial kemanusiaan,ka
sosial kemanusiaan,bismillah tuhan ga tidur
sosial kemanusiaan,dunia akherataamin yra
sosial kemanusiaan,biar yg nyari nnti rakyat indonesia ganti akhirat yg atas mohon pd rakyat
sosial kemanusiaan,liat korbanya gak tega banget dalem hati langsung ya allah yg dzolim moga engkau balas dunia akhirat
